0 0 105
1 5.88177 81
2 0 87
3 0 88
4 0 90
5 0 77
6 0 87
7 0 94
8 0 91
9 0 64
10 0 78
11 0 91
12 4.57507 88
13 0 85
14 0 79
15 0 90
16 0 76
17 5.24112 86
18 0 89
19 0 81
20 5.65387 79
21 5.70944 95
22 0 85
23 0 71
24 0 70
25 0 100
26 0 71
27 0 85
28 0 83
29 0 106
30 0 78
31 0 89
32 0 87
33 0 73
34 4.8365 79
35 0 96
36 0 83
37 0 84
38 6.13257 71
39 0 74
40 0 94
41 0 62
42 0 81
43 0 75
44 0 83
45 0 90
46 5.42698 90
47 0 92
48 5.57578 74
49 0 82
50 0 87
51 5.78807 79
52 0 91
53 0 83
54 0 96
55 0 69
56 0 78
57 6.25863 89
58 0 81
59 0 76
60 0 72
61 5.54984 77
62 0 83
63 0 85
64 0 81
65 0 93
66 5.57139 80
67 0 88
68 0 80
69 0 91
70 0 64
71 0 93
72 0 81
73 0 75
74 0 79
75 5.53209 72
76 5.91378 93
77 5.64634 71
78 0 96
79 0 80
80 4.72018 74
81 4.85576 83
82 0 93
83 0 89
84 5.77656 83
85 6.06741 78
86 0 81
87 0 75
88 0 67
89 0 82
90 0 103
91 0 81
92 0 79
93 0 94
94 0 75
95 0 78
96 0 84
97 0 78
98 0 79
99 0 88
100 0 85
101 0 89
102 6.07175 80
103 0 92
104 0 95
105 4.62771 84
106 0 97
107 0 80
108 0 87
109 6.00359 89
110 0 82
111 0 81
112 5.49241 92
113 4.57474 79
114 0 68
115 0 63
116 0 92
117 4.70988 87
118 0 97
119 5.08372 81
120 0 74
121 0 84
122 5.16596 78
123 0 94
124 0 88
125 0 90
126 0 81
127 4.85648 81
128 0 84
129 0 78
130 0 80
131 5.81704 83
132 0 89
133 0 73
134 0 71
135 0 90
136 0 78
137 0 74
138 0 75
139 0 89
140 0 89
141 5.39645 85
142 0 86
143 0 83
144 5.93039 102
145 0 75
146 0 65
147 0 84
148 0 88
149 0 89
150 0 87
151 0 87
152 5.97682 81
153 0 95
154 0 91
155 0 85
156 0 81
157 5.38983 85
158 0 81
159 0 100
160 5.29117 90
161 5.59971 80
162 0 85
163 0 82
164 0 89
165 0 75
166 5.85505 72
167 0 104
168 4.98424 98
169 0 97
170 0 70
171 0 87
172 0 76
173 5.31572 96
174 5.07888 75
175 0 95
176 0 87
177 0 90
178 5.83273 68
179 0 87
180 0 72
181 0 77
182 0 79
183 3.50464 75
184 5.40048 105
185 5.78748 74
186 5.52899 95
187 0 98
188 6.07177 94
189 4.63203 79
190 0 81
191 0 78
192 0 84
193 0 105
194 0 83
195 5.47135 71
196 6.20236 93
197 5.61512 84
198 0 83
199 0 73
200 0 84
201 0 91
202 0 85
203 0 65
204 0 86
205 0 91
206 0 90
207 0 78
208 5.9778 90
209 0 94
210 5.5356 82
211 0 76
212 0 85
213 0 87
214 0 79
215 0 85
216 0 77
217 0 69
218 5.7395 99
219 0 80
220 0 71
221 0 73
222 4.78379 90
223 0 78
224 0 101
225 0 98
226 0 78
227 0 81
228 6.12179 81
229 0 69
230 5.89994 91
231 0 78
232 0 103
233 5.55037 97
234 0 75
235 4.52604 98
236 5.80576 92
237 0 79
238 0 70
239 0 70
240 0 95
241 0 74
242 4.73233 80
243 0 91
244 0 91
245 5.41766 72
246 0 97
247 0 87
248 0 96
249 4.86525 98
250 0 69
251 5.8921 88
252 5.14319 94
253 0 84
254 0 90
255 0 84
256 0 22
257 0 11
258 0 9
259 6.47367 10
260 0 12
261 0 9
262 0 11
263 0 8
264 5.92197 13
265 4.1981 11
266 0 7
267 6.53212 10
268 0 6
269 5.73494 17
270 0 8
271 7.04887 12
272 0 9
273 5.86361 9
274 0 7
275 0 7
276 0 9
277 5.67968 8
278 0 11
279 7.89873 4
280 0 9
281 0 11
282 0 13
283 0 10
284 0 14
285 0 8
286 6.33217 13
287 0 11
288 0 16
289 0 7
290 0 10
291 0 7
292 0 11
293 0 4
294 0 10
295 0 7
296 7.20594 11
297 5.68157 8
298 0 12
299 0 6
300 0 10
301 0 7
302 0 10
303 0 7
304 0 6
305 6.71109 9
306 0 12
307 0 10
308 6.75151 10
309 0 12
310 0 7
311 0 12
312 0 6
313 0 8
314 0 5
315 0 13
316 0 10
317 0 9
318 0 16
319 0 17
320 0 10
321 0 11
322 0 7
323 0 14
324 0 4
325 7.59785 8
326 0 8
327 6.43794 7
328 6.71546 11
329 0 9
330 0 8
331 0 6
332 0 8
333 0 15
334 0 9
335 6.50032 5
336 0 13
337 0 8
338 0 11
339 0 5
340 7.06009 6
341 0 11
342 0 8
343 0 8
344 0 11
345 0 3
346 0 12
347 6.41084 6
348 0 15
349 0 5
350 0 15
351 0 7
352 0 12
353 7.48621 4
354 0 11
355 0 11
356 0 13
357 0 6
358 0 8
359 4.66739 12
360 0 10
361 0 7
362 0 11
363 0 8
364 0 6
365 7.09207 3
366 6.19202 5
367 0 9
368 0 9
369 0 12
370 0 11
371 0 9
372 5.8681 12
373 0 7
374 6.28202 12
375 0 9
376 6.1533 6
377 0 12
378 6.54902 3
379 0 11
380 0 10
381 0 11
382 6.73912 12
383 0 8
384 4.73327 11
385 0 7
386 0 10
387 0 8
388 0 15
389 6.03878 14
390 6.27216 11
391 0 11
392 0 8
393 0 7
394 0 9
395 5.9983 13
396 0 6
397 0 12
398 0 5
399 0 9
400 0 11
401 6.07529 9
402 6.91187 12
403 0 9
404 0 2
405 0 12
406 5.77221 9
407 0 10
408 6.83933 4
409 5.65996 12
410 6.31963 16
411 0 11
412 0 14
413 0 11
414 0 15
415 5.57634 9
416 0 9
417 0 12
418 0 7
419 5.6619 6
420 0 16
421 0 14
422 7.11524 9
423 0 14
424 6.84542 4
425 0 14
426 6.89668 8
427 7.22608 5
428 0 15
429 6.11271 8
430 0 14
431 0 14
432 0 15
433 0 6
434 5.7947 13
435 0 10
436 0 11
437 0 11
438 0 9
439 0 5
440 0 11
441 0 17
442 0 14
443 0 8
444 0 9
445 0 12
446 7.49032 5
447 0 9
448 0 9
449 0 17
450 0 7
451 6.2509 16
452 6.87098 8
453 0 11
454 0 13
455 0 9
456 6.53975 11
457 0 13
458 6.15454 9
459 0 7
460 0 8
461 0 8
462 6.5386 3
463 7.00576 11
464 0 13
465 0 7
466 0 4
467 0 8
468 0 10
469 0 13
470 0 16
471 0 12
472 0 8
473 0 6
474 0 8
475 0 4
476 0 11
477 0 9
478 7.06834 10
479 0 8
480 0 14
481 0 3
482 5.62338 11
483 0 7
484 0 8
485 0 8
486 0 9
487 0 13
488 0 13
489 0 6
490 0 6
491 6.86213 13
492 6.2229 6
493 0 8
494 6.08961 6
495 0 8
496 0 14
497 0 6
498 0 10
499 0 9
500 0 10
501 0 11
502 0 7
503 6.96181 6
504 0 10
505 6.65941 2
506 0 10
507 0 10
508 6.29133 9
509 0 16
510 0 10
511 0 6
512 5.6146 17
513 0 6
514 0 8
515 7.11688 12
516 0 9
517 5.74726 6
518 0 6
519 0 6
520 0 6
521 0 6
522 0 13
523 0 13
524 0 12
525 0 6
526 0 6
527 0 9
528 0 11
529 4.4511 4
530 6.55465 11
531 0 6
532 0 5
533 0 5
534 0 11
535 0 1
536 0 10
537 0 8
538 0 6
539 0 9
540 0 6
541 0 6
542 0 9
543 0 5
544 6.26454 12
545 0 9
546 6.95981 11
547 0 9
548 0 9
549 0 11
550 0 13
551 0 10
552 0 8
553 0 11
554 0 7
555 0 7
556 0 9
557 0 9
558 0 9
559 0 9
560 6.85286 7
561 0 2
562 0 17
563 5.48576 9
564 0 6
565 6.5698 9
566 0 9
567 0 13
568 0 14
569 0 12
570 0 9
571 6.37652 14
572 0 9
573 0 7
574 0 11
575 6.21247 10
576 0 10
577 0 10
578 0 10
579 7.22269 8
580 0 8
581 7.03676 3
582 6.11114 10
583 0 6
584 5.58285 8
585 0 5
586 5.98783 7
587 5.62462 12
588 0 6
589 7.3162 8
590 0 13
591 0 11
592 0 11
593 0 7
594 6.86237 4
595 5.88065 9
596 6.7357 13
597 0 5
598 0 10
599 5.79139 8
600 0 15
601 0 2
602 0 14
603 0 11
604 0 10
605 0 8
606 0 10
607 6.19864 7
608 0 16
609 0 10
610 6.2532 7
611 0 4
612 0 14
613 0 6
614 0 10
615 0 10
616 0 21
617 0 9
618 5.56739 10
619 0 12
620 6.44125 5
621 0 6
622 0 10
623 0 14
624 5.82541 10
625 0 8
626 0 8
