0 0 10
1 6.23859 10
2 0 11
3 0 15
4 0 8
5 0 16
6 0 10
7 0 10
8 0 12
9 0 11
10 0 10
11 0 11
12 7.18019 11
13 0 13
14 0 13
15 0 12
16 0 18
17 6.13288 8
18 0 18
19 0 11
20 6.86337 9
21 6.66103 12
22 0 13
23 0 10
24 0 4
25 0 13
26 0 12
27 0 6
28 0 10
29 0 6
30 0 13
31 0 9
32 0 24
33 0 11
34 6.88117 10
35 0 11
36 0 22
37 0 12
38 7.04155 10
39 0 8
40 0 5
41 0 18
42 0 8
43 0 12
44 0 12
45 0 14
46 6.94201 11
47 0 7
48 5.96238 19
49 0 11
50 0 12
51 6.99228 13
52 0 11
53 0 17
54 0 21
55 0 12
56 0 7
57 7.4106 7
58 0 9
59 0 6
60 0 6
61 6.9225 8
62 0 16
63 0 10
64 0 10
65 0 12
66 6.07451 12
67 0 11
68 0 9
69 0 14
70 0 11
71 0 11
72 0 9
73 0 9
74 0 10
75 6.85923 14
76 6.43534 13
77 6.63045 9
78 0 9
79 0 10
80 7.15566 10
81 5.93089 9
82 0 12
83 0 6
84 6.57902 12
85 7.05804 14
86 0 13
87 0 11
88 0 4
89 0 9
90 0 13
91 0 16
92 0 15
93 0 14
94 0 12
95 0 12
96 0 11
97 0 14
98 0 15
99 0 10
100 0 12
101 0 15
102 5.49515 14
103 0 10
104 0 9
105 4.88869 16
106 0 9
107 0 11
108 0 18
109 6.30192 9
110 0 13
111 0 13
112 6.09673 9
113 5.43851 10
114 0 22
115 0 16
116 0 11
117 6.29689 9
118 0 9
119 6.04646 16
120 0 17
121 0 13
122 6.08778 10
123 0 15
124 0 14
125 0 8
126 0 17
127 6.58968 14
128 0 14
129 0 8
130 0 9
131 7.05407 12
132 0 10
133 0 14
134 0 4
135 0 16
136 0 11
137 0 14
138 0 12
139 0 17
140 0 13
141 6.9244 7
142 0 10
143 0 14
144 6.62563 8
145 0 6
146 0 17
147 0 8
148 0 11
149 0 5
150 0 14
151 0 9
152 6.57304 13
153 0 11
154 0 9
155 0 11
156 0 19
157 6.41443 11
158 0 16
159 0 13
160 6.75249 13
161 5.8203 10
162 0 9
163 0 9
164 0 14
165 0 13
166 7.18735 13
167 0 12
168 6.68197 10
169 0 12
170 0 10
171 0 12
172 0 13
173 6.39469 12
174 6.40163 11
175 0 11
176 0 10
177 0 13
178 6.23375 14
179 0 6
180 0 13
181 0 13
182 0 11
183 6.23595 14
184 6.35901 16
185 6.73014 12
186 7.09921 13
187 0 8
188 5.75701 11
189 7.38694 12
190 0 9
191 0 12
192 0 16
193 0 11
194 0 6
195 6.7003 12
196 6.5496 11
197 7.32605 10
198 0 15
199 0 17
200 0 13
201 0 13
202 0 13
203 0 8
204 0 16
205 0 8
206 0 12
207 0 8
208 7.18156 14
209 0 9
210 6.53589 13
211 0 15
212 0 13
213 0 16
214 0 8
215 0 14
216 0 17
217 0 10
218 7.73544 4
219 0 14
220 0 7
221 0 12
222 6.82107 9
223 0 10
224 0 12
225 0 14
226 0 11
227 0 16
228 6.65566 9
229 0 16
230 6.81033 6
231 0 12
232 0 10
233 5.22225 10
234 0 7
235 6.43894 8
236 5.3599 15
237 0 15
238 0 19
239 0 8
240 0 16
241 0 24
242 6.48501 10
243 0 8
244 0 13
245 6.53175 8
246 0 11
247 0 9
248 0 7
249 7.04282 20
250 0 12
251 6.80928 12
252 7.76383 6
253 0 11
254 0 15
255 0 10
256 0 10
257 0 4
258 0 8
259 6.78148 13
260 0 10
261 0 11
262 0 12
263 0 15
264 7.0833 10
265 5.41223 10
266 0 20
267 6.03102 16
268 0 7
269 6.74982 11
270 0 12
271 4.9719 13
272 0 9
273 6.36432 17
274 0 20
275 0 14
276 0 10
277 6.52293 15
278 0 14
279 6.98072 13
280 0 13
281 0 12
282 0 10
283 0 16
284 0 12
285 0 13
286 7.25935 6
287 0 12
288 0 8
289 0 14
290 0 15
291 0 6
292 0 13
293 0 15
294 0 14
295 0 12
296 7.6133 9
297 4.34675 12
298 0 13
299 0 16
300 0 13
301 0 10
302 0 8
303 0 9
304 0 12
305 5.96165 10
306 0 7
307 0 14
308 6.73609 11
309 0 13
310 0 16
311 0 13
312 0 11
313 0 10
314 0 17
315 0 4
316 0 8
317 0 12
318 0 11
319 0 8
320 0 13
321 0 10
322 0 8
323 0 14
324 0 12
325 5.1331 14
326 0 12
327 6.59392 12
328 6.75135 8
329 0 8
330 0 9
331 0 15
332 0 13
333 0 16
334 0 11
335 5.35951 10
336 0 8
337 0 14
338 0 13
339 0 5
340 5.56897 10
341 0 7
342 0 15
343 0 16
344 0 11
345 0 8
346 0 13
347 4.43637 10
348 0 12
349 0 10
350 0 14
351 0 11
352 0 7
353 7.49141 7
354 0 12
355 0 14
356 0 10
357 0 8
358 0 19
359 7.4446 4
360 0 11
361 0 13
362 0 3
363 0 13
364 0 13
365 6.1235 14
366 6.59694 13
367 0 14
368 0 12
369 0 10
370 0 12
371 0 7
372 5.66137 11
373 0 7
374 6.75271 13
375 0 9
376 5.95256 11
377 0 11
378 6.58386 11
379 0 12
380 0 8
381 0 12
382 6.41534 12
383 0 12
384 7.35798 9
385 0 14
386 0 12
387 0 11
388 0 18
389 6.99502 5
390 6.6699 5
391 0 10
392 0 8
393 0 17
394 0 6
395 6.33979 13
396 0 16
397 0 10
398 0 15
399 0 9
400 0 13
401 5.88051 8
402 7.32289 8
403 0 11
404 0 10
405 0 15
406 6.13544 10
407 0 9
408 5.00769 12
409 6.32297 15
410 7.01477 8
411 0 8
412 0 19
413 0 9
414 0 12
415 5.6409 15
416 0 11
417 0 13
418 0 14
419 7.10514 13
420 0 16
421 0 8
422 6.70362 14
423 0 19
424 7.28809 13
425 0 14
426 7.08164 7
427 6.60771 11
428 0 9
429 6.33779 11
430 0 17
431 0 17
432 0 14
433 0 14
434 6.94397 5
435 0 6
436 0 15
437 0 11
438 0 13
439 0 6
440 0 11
441 0 16
442 0 9
443 0 12
444 0 12
445 0 8
446 6.73081 9
447 0 11
448 0 13
449 0 11
450 0 13
451 6.07321 18
452 6.41117 8
453 0 12
454 0 8
455 0 15
456 6.03456 14
457 0 8
458 7.19026 11
459 0 12
460 0 12
461 0 11
462 6.09347 11
463 7.05456 9
464 0 13
465 0 11
466 0 9
467 0 7
468 0 13
469 0 15
470 0 12
471 0 13
472 0 13
473 0 14
474 0 12
475 0 10
476 0 5
477 0 14
478 7.03605 14
479 0 12
