0 0 15
1 5.65103 11
2 0 6
3 0 15
4 0 6
5 0 9
6 0 12
7 0 13
8 0 10
9 0 9
10 0 11
11 0 12
12 7.40396 5
13 0 12
14 0 10
15 0 13
16 0 8
17 6.60056 9
18 0 8
19 0 9
20 5.50625 16
21 5.78759 9
22 0 9
23 0 9
24 0 14
25 0 6
26 0 6
27 0 9
28 0 10
29 0 5
30 0 5
31 0 7
32 0 10
33 0 7
34 6.20073 7
35 0 5
36 0 17
37 0 8
38 6.38171 5
39 0 6
40 0 8
41 0 10
42 0 9
43 0 10
44 0 9
45 0 10
46 4.94392 11
47 0 7
48 6.44826 13
49 0 19
50 0 8
51 5.22014 7
52 0 24
53 0 10
54 0 10
55 0 6
56 0 9
57 5.53209 7
58 0 14
59 0 10
60 0 5
61 6.28229 7
62 0 4
63 0 10
64 0 11
65 0 8
66 6.46753 13
67 0 17
68 0 11
69 0 2
70 0 9
71 0 11
72 0 10
73 0 8
74 0 17
75 6.20003 15
76 6.65006 12
77 6.17704 11
78 0 8
79 0 9
80 6.64787 5
81 5.76421 10
82 0 14
83 0 10
84 5.89401 9
85 6.68494 6
86 0 9
87 0 7
88 0 8
89 0 11
90 0 5
91 0 8
92 0 11
93 0 7
94 0 7
95 0 7
96 0 6
97 0 10
98 0 18
99 0 7
100 0 12
101 0 7
102 6.87287 6
103 0 5
104 0 11
105 5.8355 15
106 0 5
107 0 9
108 0 5
109 6.55507 12
110 0 11
111 0 13
112 6.18473 6
113 5.23391 6
114 0 15
115 0 2
116 0 4
117 6.26469 8
118 0 7
119 6.49339 10
120 0 9
121 0 10
122 6.94939 11
123 0 15
124 0 14
125 0 8
126 0 9
127 6.84981 6
128 0 9
129 0 5
130 0 7
131 5.52469 12
132 0 7
133 0 10
134 0 9
135 0 10
136 0 5
137 0 12
138 0 13
139 0 16
140 0 17
141 4.48231 5
142 0 9
143 0 6
144 5.69388 12
145 0 8
146 0 8
147 0 9
148 0 5
149 0 11
150 0 5
151 0 16
152 6.04323 14
153 0 10
154 0 12
155 0 8
156 0 15
157 6.22602 11
158 0 15
159 0 8
160 6.48119 9
161 7.21767 4
162 0 3
163 0 9
164 0 4
165 0 6
166 5.93114 16
167 0 11
168 6.56224 10
169 0 5
170 0 7
171 0 2
172 0 10
173 5.49216 7
174 6.06325 5
175 0 3
176 0 11
177 0 6
178 6.72844 9
179 0 11
180 0 20
181 0 6
182 0 4
183 4.99548 14
184 5.41054 11
185 5.91717 13
186 5.55423 11
187 0 6
188 6.87032 10
189 6.57219 8
190 0 9
191 0 15
192 0 9
193 0 10
194 0 9
195 6.82063 7
196 6.40046 13
197 5.85387 9
198 0 6
199 0 7
200 0 5
201 0 10
202 0 9
203 0 7
204 0 4
205 0 6
206 0 11
207 0 9
208 6.27506 18
209 0 4
210 6.68367 7
211 0 11
212 0 11
213 0 10
214 0 8
215 0 10
216 0 8
217 0 15
218 5.15781 15
219 0 7
220 0 14
221 0 12
222 6.51118 10
223 0 9
224 0 6
225 0 14
226 0 5
227 0 4
228 5.41372 9
229 0 8
230 5.31149 13
231 0 7
232 0 14
233 5.36791 8
234 0 8
235 6.36983 7
236 6.67969 9
237 0 9
238 0 8
239 0 11
240 0 11
241 0 10
242 5.31648 14
243 0 11
244 0 13
245 5.41577 11
246 0 8
247 0 11
248 0 8
249 6.32225 6
250 0 9
251 6.95111 10
252 6.10502 14
253 0 7
254 0 9
255 0 7
256 0 10
257 0 6
258 0 9
259 6.17201 2
260 0 4
261 0 13
262 0 9
263 0 11
264 5.87746 9
265 5.31083 8
266 0 11
267 6.90779 9
268 0 10
269 6.67512 11
270 0 10
271 7.23075 2
272 0 9
273 5.25058 12
274 0 16
275 0 9
276 0 11
277 5.64018 18
278 0 7
279 5.94678 12
280 0 7
281 0 7
282 0 16
283 0 6
284 0 8
285 0 15
286 6.23606 13
287 0 11
288 0 13
289 0 12
290 0 9
291 0 11
292 0 12
293 0 16
294 0 2
295 0 6
296 5.24509 12
297 7.12821 12
298 0 7
299 0 3
300 0 8
301 0 5
302 0 7
303 0 8
304 0 7
305 6.52286 11
306 0 11
307 0 11
308 2.50041 8
309 0 9
310 0 11
311 0 7
312 0 4
313 0 6
314 0 9
315 0 6
316 0 4
317 0 11
318 0 9
319 0 9
320 0 10
321 0 6
322 0 8
323 0 10
324 0 4
325 6.10562 9
326 0 7
327 5.43796 4
328 5.7692 7
329 0 11
330 0 5
331 0 7
332 0 8
333 0 8
334 0 6
335 5.10061 12
336 0 9
337 0 15
338 0 4
339 0 8
340 6.47755 12
341 0 13
342 0 10
343 0 13
344 0 8
345 0 8
346 0 5
347 6.29464 8
348 0 6
349 0 9
350 0 6
351 0 8
352 0 13
353 6.35066 12
354 0 6
355 0 7
356 0 11
357 0 6
358 0 5
359 6.02316 6
360 0 16
361 0 7
362 0 13
363 0 13
364 0 7
365 5.82486 9
366 5.95677 10
367 0 9
368 0 12
369 0 14
370 0 10
371 0 8
372 3.09036 10
373 0 11
374 6.91924 9
375 0 13
376 6.17169 12
377 0 10
378 6.38003 7
379 0 13
380 0 4
381 0 11
382 5.3415 12
383 0 8
384 4.05384 11
385 0 15
386 0 12
387 0 17
388 0 7
389 6.62989 8
390 5.36019 10
391 0 8
392 0 7
393 0 11
394 0 11
395 4.85952 11
396 0 7
397 0 13
398 0 9
399 0 10
400 0 15
401 6.73259 11
402 6.91728 7
403 0 9
404 0 9
405 0 7
406 6.30805 11
407 0 7
408 6.50681 12
409 6.80187 9
410 6.11516 7
411 0 10
412 0 7
413 0 8
414 0 10
415 6.55562 11
416 0 7
417 0 8
418 0 8
419 6.28317 12
420 0 5
421 0 13
422 6.03011 10
423 0 6
424 5.78315 9
425 0 11
426 7.53907 4
427 6.4692 10
428 0 11
429 6.52086 11
430 0 9
431 0 9
432 0 9
433 0 9
434 6.17614 11
435 0 8
436 0 9
437 0 11
438 0 13
439 0 12
440 0 8
441 0 5
442 0 10
443 0 16
444 0 9
445 0 10
446 5.25725 12
447 0 8
448 0 4
449 0 10
450 0 5
451 6.06846 9
452 6.28405 5
453 0 13
454 0 11
455 0 13
456 4.12574 11
457 0 13
458 6.34247 10
459 0 3
460 0 11
461 0 11
462 6.67564 8
463 6.52157 7
464 0 9
465 0 5
466 0 13
467 0 8
468 0 9
469 0 7
470 0 12
471 0 12
472 0 9
473 0 15
474 0 7
475 0 11
476 0 9
477 0 15
478 6.10948 8
479 0 12
480 0 8
481 0 8
482 6.5008 11
483 0 5
484 0 7
485 0 6
486 0 10
487 0 6
488 0 10
489 0 7
490 0 8
491 5.9499 12
492 5.89382 11
493 0 6
494 6.22186 10
495 0 11
496 0 10
497 0 12
498 0 8
499 0 9
500 0 7
501 0 8
502 0 11
503 6.56196 9
504 0 13
505 6.39149 9
506 0 8
507 0 13
508 5.70636 7
509 0 13
510 0 8
511 0 8
512 5.56864 10
513 0 1
514 0 13
515 7.32093 5
516 0 3
517 5.45153 17
518 0 6
519 0 9
520 0 5
