0 0 192  0
1 0 106  1
2 0 101  1
3 0 106  1
4 0 107  1
5 0 101  1
6 0 111  1
7 0 114  1
8 0 107  1
9 0 104  1
10 0 96  1
11 0 109  1
12 3.63356 115  1
13 0 100  1
14 0 114  1
15 0 102  1
16 0 111  1
17 3.06006 100  1
18 0 109  1
19 0 118  1
20 3.74853 106  1
21 3.55029 118  1
22 0 101  1
23 0 99  1
24 0 106  1
25 0 115  1
26 0 99  1
27 0 99  1
28 0 100  1
29 0 118  1
30 0 95  1
31 0 112  1
32 0 104  1
33 0 98  1
34 4.11489 114  1
35 0 102  1
36 0 93  1
37 0 121  1
38 3.68462 91  1
39 0 109  1
40 0 111  1
41 0 94  1
42 0 95  1
43 0 113  1
44 0 118  1
45 0 103  1
46 3.25794 129  1
47 0 108  1
48 2.94199 106  1
49 0 115  1
50 0 124  1
51 3.32064 103  1
52 0 114  1
53 0 112  1
54 0 103  1
55 0 98  1
56 0 87  1
57 3.44539 122  1
58 0 115  1
59 0 115  1
60 0 112  1
61 4.03782 98  1
62 0 123  1
63 0 110  0
64 0 111  1
65 0 108  1
66 3.25807 89  1
67 0 118  1
68 0 116  1
69 0 107  1
70 0 86  0
71 0 109  0
72 0 87  1
73 0 116  1
74 0 98  1
75 4.29047 85  1
76 3.37138 118  1
77 4.2357 84  1
78 0 121  1
79 0 99  1
80 3.33332 119  1
81 4.65856 99  1
82 0 114  1
83 0 104  1
84 4.03759 126  1
85 3.02572 103  1
86 0 106  1
87 0 106  1
88 0 119  1
89 0 94  1
90 0 114  1
91 0 88  1
92 0 90  1
93 0 106  1
94 0 98  1
95 0 100  0
96 0 88  1
97 0 101  1
98 0 103  1
99 0 111  1
100 0 94  1
101 0 105  1
102 4.08916 99  1
103 0 111  1
104 0 119  1
105 3.61151 120  1
106 0 112  1
107 0 104  1
108 0 104  1
109 2.91462 109  1
110 0 106  1
111 0 100  1
112 2.49751 109  1
113 4.31638 106  1
114 0 112  1
115 0 87  1
116 0 109  1
117 4.08025 96  1
118 0 116  1
119 3.74028 122  1
120 0 102  1
121 0 116  1
122 3.82921 117  1
123 0 111  1
124 0 96  1
125 0 96  1
126 0 96  1
127 3.8002 108  1
128 0 132  1
129 0 85  1
130 0 114  1
131 3.68829 117  1
132 0 128  1
133 0 105  1
134 0 91  1
135 0 122  1
136 0 111  1
137 0 92  1
138 0 93  1
139 0 111  1
140 0 91  1
141 4.02744 107  1
142 0 93  1
143 0 104  1
144 3.24399 110  1
145 0 111  1
146 0 98  1
147 0 118  1
148 0 107  1
149 0 111  1
150 0 98  1
151 0 113  1
152 4.40801 116  1
153 0 121  1
154 0 107  1
155 0 87  1
156 0 101  1
157 3.60751 107  1
158 0 103  1
159 0 104  1
160 3.47205 110  1
161 4.03734 107  1
162 0 104  1
163 0 110  1
164 0 111  1
165 0 105  1
166 4.43725 86  1
167 0 110  1
168 3.75058 100  1
169 0 106  1
170 0 94  1
171 0 96  1
172 0 89  1
173 4.64939 113  1
174 3.61317 113  1
175 0 109  1
176 0 100  1
177 0 115  1
178 4.38308 112  1
179 0 115  1
180 0 90  1
181 0 110  1
182 0 101  1
183 3.75537 106  1
184 4.06246 142  1
185 4.50571 98  1
186 2.60413 113  1
187 0 113  1
188 3.62408 114  1
189 3.20072 114  1
190 0 126  1
191 0 100  1
192 0 111  1
193 0 122  1
194 0 114  1
195 3.40511 102  1
196 3.9762 103  1
197 3.12457 101  1
198 0 96  1
199 0 94  1
200 0 117  0
201 0 117  1
202 0 126  1
203 0 93  1
204 0 107  1
205 0 92  1
206 0 118  1
207 0 105  1
208 3.89704 111  1
209 0 122  1
210 3.00625 134  1
211 0 103  1
212 0 107  1
213 0 110  1
214 0 86  1
215 0 107  1
216 0 85  1
217 0 96  1
218 4.29844 94  1
219 0 113  1
220 0 105  1
221 0 100  1
222 4.27112 116  1
223 0 103  1
224 0 113  1
225 0 104  1
226 0 97  1
227 0 124  1
228 3.83893 89  1
229 0 82  1
230 3.92067 110  1
231 0 91  1
232 0 118  1
233 4.59063 110  1
234 0 100  1
235 3.55472 106  1
236 2.82066 119  1
237 0 104  1
238 0 107  1
