0 0 19  0
1 0 9  1
2 0 12  1
3 0 14  1
4 0 12  1
5 0 8  1
6 0 7  1
7 0 13  1
8 0 11  1
9 0 4  1
10 0 14  1
11 0 9  1
12 5.03955 7  1
13 0 10  1
14 0 10  1
15 0 10  1
16 0 6  1
17 5.4677 10  1
18 0 12  0
19 0 7  1
20 5.11364 22  0
21 5.66796 10  1
22 0 8  1
23 0 10  1
24 0 16  1
25 0 5  1
26 0 10  1
27 0 8  1
28 0 7  1
29 0 7  1
30 0 7  1
31 0 7  1
32 0 8  1
33 0 8  1
34 5.1199 7  1
35 0 8  1
36 0 12  1
37 0 7  1
38 4.01487 6  1
39 0 13  1
40 0 10  1
41 0 12  1
42 0 11  1
43 0 11  1
44 0 7  1
45 0 9  1
46 5.14894 5  0
47 0 7  1
48 5.13067 11  1
49 0 11  1
50 0 5  1
51 5.20153 6  1
52 0 19  1
53 0 6  1
54 0 8  1
55 0 7  1
56 0 8  1
57 5.76257 6  1
58 0 10  1
59 0 10  1
60 0 9  1
61 4.43636 9  1
62 0 9  1
63 0 6  1
64 0 10  1
65 0 12  1
66 5.15482 11  1
67 0 16  0
68 0 14  1
69 0 8  1
70 0 8  1
71 0 8  1
72 0 7  1
73 0 8  1
74 0 11  1
75 4.98713 14  1
76 4.80869 10  1
77 4.54388 11  1
78 0 4  1
79 0 9  1
80 5.01647 5  1
81 5.59396 10  1
82 0 16  1
83 0 8  1
84 4.62295 5  1
85 5.14489 7  1
86 0 10  1
87 0 8  1
88 0 7  1
89 0 9  1
90 0 9  1
91 0 8  1
92 0 7  1
93 0 6  1
94 0 6  1
95 0 10  1
96 0 11  1
97 0 9  1
98 0 11  1
99 0 7  1
100 0 8  1
101 0 8  1
102 5.02275 8  1
103 0 13  1
104 0 6  1
105 5.0094 11  1
106 0 4  1
107 0 13  1
108 0 9  1
109 4.92665 12  1
110 0 13  1
111 0 10  1
112 4.87264 9  1
113 5.50187 8  1
114 0 15  1
115 0 5  1
116 0 5  1
117 5.90147 5  1
118 0 10  1
119 5.84329 9  1
120 0 13  1
121 0 14  1
122 4.71838 10  1
123 0 6  1
124 0 10  1
125 0 9  1
126 0 7  1
127 5.86888 8  1
128 0 6  1
129 0 9  1
130 0 9  1
131 5.42683 11  1
132 0 6  1
133 0 10  1
134 0 8  1
135 0 11  1
136 0 8  1
137 0 10  1
138 0 6  1
139 0 12  1
140 0 21  1
141 5.65723 6  1
142 0 8  1
143 0 7  1
144 4.57179 10  1
145 0 7  1
146 0 16  1
147 0 16  1
148 0 6  1
149 0 10  1
150 0 7  1
151 0 15  1
152 5.48793 9  1
153 0 12  1
154 0 10  1
155 0 10  1
156 0 12  1
157 4.50412 12  1
158 0 13  1
159 0 9  0
160 4.89405 10  1
161 5.30338 11  1
162 0 8  1
163 0 8  1
164 0 6  1
165 0 9  1
166 4.05161 14  1
167 0 10  1
168 5.66373 10  1
169 0 8  1
170 0 10  1
171 0 4  0
172 0 10  1
173 4.59487 8  1
174 5.21758 3  1
175 0 9  1
176 0 9  1
177 0 5  1
178 4.43795 16  1
179 0 10  1
180 0 15  1
181 0 8  0
182 0 10  1
183 4.04346 11  1
184 3.8532 15  1
185 5.12436 10  1
186 5.28183 16  1
187 0 9  1
188 3.74165 8  1
189 5.05154 10  1
190 0 8  1
191 0 13  1
192 0 12  1
193 0 7  1
194 0 12  1
195 4.02439 10  1
196 4.66444 11  1
197 3.46191 11  1
198 0 5  1
199 0 10  1
200 0 9  1
201 0 10  1
202 0 9  1
203 0 7  1
204 0 9  1
205 0 7  1
206 0 9  0
207 0 6  1
208 4.12609 17  1
209 0 4  1
210 5.5596 8  1
211 0 6  0
212 0 15  1
213 0 10  1
214 0 11  1
215 0 4  1
216 0 13  1
217 0 9  0
218 4.95452 10  1
219 0 9  0
220 0 18  1
221 0 11  1
222 5.37117 7  1
223 0 7  1
224 0 10  1
225 0 10  0
226 0 9  1
227 0 12  1
228 5.97706 7  1
229 0 4  1
230 5.16582 12  1
231 0 4  1
232 0 17  0
233 4.19405 12  1
234 0 9  1
235 5.78554 8  1
236 4.2153 8  1
237 0 6  1
238 0 6  0
239 0 10  1
240 0 13  1
241 0 13  0
242 5.65643 14  1
243 0 4  1
244 0 12  1
245 5.61968 11  1
246 0 13  1
247 0 10  0
248 0 7  1
249 3.45897 7  1
250 0 9  1
251 5.54025 8  1
252 5.33362 16  1
253 0 13  1
254 0 8  1
255 0 7  1
256 0 7  1
257 0 7  0
258 0 11  1
259 5.33217 2  1
260 0 10  1
261 0 15  1
262 0 8  1
263 0 8  1
264 5.55369 11  1
265 5.29036 6  1
266 0 9  1
267 3.73683 12  1
268 0 14  1
269 5.09588 10  1
270 0 12  1
271 4.79517 5  1
272 0 12  1
273 5.06212 9  1
274 0 14  1
275 0 4  1
276 0 13  1
277 5.65789 12  1
278 0 8  1
279 3.7916 10  1
280 0 13  1
281 0 10  1
282 0 14  1
283 0 9  1
284 0 6  1
285 0 14  0
286 3.48851 10  1
287 0 4  1
288 0 8  1
289 0 12  1
290 0 12  1
291 0 8  1
292 0 11  1
293 0 10  1
294 0 6  1
295 0 6  1
296 5.08966 11  1
297 5.14586 8  1
298 0 11  1
299 0 5  1
300 0 8  1
301 0 2  1
302 0 6  1
303 0 6  1
304 0 8  1
305 5.12792 14  1
306 0 12  1
307 0 4  1
308 3.82358 8  1
309 0 8  1
310 0 7  1
311 0 7  0
312 0 8  1
313 0 2  1
314 0 4  1
315 0 7  1
316 0 8  1
317 0 9  1
318 0 8  1
319 0 5  1
320 0 8  1
321 0 7  1
322 0 9  1
323 0 9  1
324 0 5  1
325 4.89191 13  1
326 0 9  0
327 5.33293 6  1
328 4.81029 9  1
329 0 12  1
330 0 6  1
331 0 7  1
332 0 9  1
333 0 4  1
334 0 6  1
335 5.4835 16  1
336 0 9  1
337 0 15  1
338 0 8  1
339 0 6  1
340 5.42249 10  1
341 0 8  1
342 0 5  1
343 0 8  1
344 0 9  1
345 0 11  1
346 0 9  1
347 4.3932 8  1
348 0 9  1
349 0 13  1
350 0 9  1
351 0 12  1
352 0 7  1
353 4.77163 14  1
354 0 7  1
355 0 7  1
356 0 10  1
357 0 10  1
358 0 5  1
359 5.61751 5  1
360 0 8  1
361 0 9  1
362 0 8  1
363 0 12  1
364 0 10  1
365 5.26349 15  1
366 5.00937 9  1
367 0 6  1
368 0 10  1
369 0 15  1
370 0 9  1
371 0 8  1
372 4.11127 11  0
373 0 10  1
374 5.49758 13  1
375 0 9  1
376 5.13365 15  1
377 0 6  1
378 5.58532 3  1
379 0 10  1
380 0 9  1
381 0 11  1
382 4.85628 9  0
383 0 8  1
384 4.81163 10  1
385 0 15  1
386 0 10  1
387 0 12  1
388 0 7  1
389 4.56147 7  1
390 5.1254 7  1
391 0 8  1
392 0 4  1
393 0 8  1
394 0 7  1
395 5.93818 6  1
396 0 7  1
397 0 17  1
398 0 8  1
399 0 13  1
400 0 15  1
401 5.22632 7  1
402 5.83564 6  1
403 0 7  1
404 0 5  1
405 0 6  1
406 4.61561 10  1
407 0 8  1
408 4.875 10  1
409 5.51802 9  1
410 5.86785 9  1
411 0 6  1
412 0 4  1
413 0 9  1
414 0 10  1
415 2.3789 12  1
416 0 8  1
417 0 7  1
418 0 8  1
419 4.94411 9  1
420 0 9  1
421 0 10  1
422 4.63778 9  1
423 0 8  1
424 4.99806 13  1
425 0 9  1
426 5.55884 5  1
427 3.13395 11  1
428 0 7  1
429 4.6222 15  1
430 0 4  1
431 0 4  1
432 0 11  1
433 0 10  1
434 4.77884 8  1
435 0 4  1
436 0 8  1
437 0 10  1
438 0 11  1
439 0 8  1
440 0 7  1
441 0 12  1
442 0 9  1
443 0 11  1
444 0 11  1
445 0 8  1
446 5.18343 11  1
447 0 10  0
448 0 6  1
449 0 11  1
450 0 10  1
451 5.26791 11  1
452 5.35505 9  1
453 0 12  1
454 0 7  1
455 0 10  1
456 4.14682 11  0
457 0 13  1
458 5.59136 14  1
459 0 11  1
460 0 12  0
461 0 11  1
462 4.67742 10  1
463 5.04979 8  1
464 0 6  1
465 0 9  1
466 0 11  1
467 0 11  1
468 0 13  1
469 0 11  1
470 0 12  1
471 0 13  1
472 0 8  1
473 0 14  1
474 0 7  1
475 0 13  1
476 0 9  1
477 0 18  0
478 3.82558 9  1
479 0 14  1
480 0 8  1
481 0 7  1
482 5.19575 13  1
483 0 5  1
484 0 8  1
485 0 9  1
486 0 10  1
487 0 11  1
488 0 10  1
489 0 6  0
490 0 6  1
491 4.91356 5  1
492 6.04962 12  1
493 0 10  1
494 5.45268 12  1
495 0 8  0
496 0 7  1
497 0 13  1
498 0 8  1
499 0 12  1
500 0 10  1
501 0 9  1
502 0 9  1
503 3.85193 9  1
504 0 9  1
505 4.43598 13  1
506 0 10  1
507 0 14  0
508 5.57012 11  1
509 0 10  1
510 0 5  1
511 0 7  1
512 4.12745 8  1
513 0 4  1
514 0 12  1
515 4.94705 9  1
516 0 2  1
517 4.69423 15  1
518 0 12  1
519 0 13  1
520 0 3  1
521 0 13  1
522 0 11  1
523 0 10  1
524 0 7  1
525 0 8  1
526 0 8  1
527 0 10  1
528 0 10  1
529 4.14664 7  1
530 5.46488 8  1
531 0 9  1
532 0 10  1
533 0 8  1
534 0 14  1
535 0 9  1
536 0 13  1
537 0 17  1
538 0 10  1
539 0 8  1
540 0 5  1
541 0 11  1
542 0 15  1
543 0 11  1
544 5.03699 9  1
545 0 10  1
546 4.95423 8  1
547 0 11  1
548 0 9  1
549 0 15  1
550 0 12  1
551 0 9  1
552 0 4  1
553 0 13  1
554 0 10  1
555 0 9  1
556 0 15  1
557 0 10  1
558 0 12  1
559 0 9  1
560 4.59227 10  1
561 0 10  1
562 0 12  1
563 3.60822 11  1
564 0 9  1
565 5.3893 6  1
566 0 6  1
567 0 8  1
568 0 3  1
569 0 8  1
570 0 7  1
571 3.82939 11  1
572 0 7  1
573 0 8  1
574 0 14  1
575 4.7506 8  1
576 0 8  1
577 0 11  1
578 0 13  1
579 4.79358 20  1
580 0 13  0
581 4.41645 7  1
582 5.22795 9  1
583 0 6  1
584 4.3013 11  1
585 0 13  1
586 5.22172 17  1
587 4.14478 10  1
588 0 9  1
589 6.00295 6  1
590 0 9  1
591 0 9  1
592 0 12  1
593 0 8  1
594 5.79031 10  1
595 4.88493 6  1
596 4.65914 9  1
597 0 13  1
598 0 15  1
599 4.12599 15  1
600 0 8  1
601 0 5  1
602 0 13  1
603 0 6  1
604 0 8  0
605 0 6  0
606 0 11  1
607 6.14472 4  0
608 0 6  1
609 0 8  1
610 5.1815 18  1
611 0 7  1
612 0 11  1
613 0 13  1
614 0 12  1
615 0 10  1
616 0 11  1
617 0 12  1
618 5.60788 11  1
619 0 9  1
620 5.99331 5  1
621 0 11  1
622 0 11  1
623 0 9  1
624 4.83358 16  1
625 0 7  1
626 0 8  1
627 4.40443 5  1
628 0 7  1
629 0 5  1
630 0 9  0
631 0 12  1
632 0 5  1
633 0 13  1
634 0 14  1
