0 0 10  0
1 0 12  1
2 0 12  1
3 0 8  1
4 0 10  1
5 0 13  1
6 0 17  1
7 0 15  1
8 0 10  1
9 0 15  1
10 0 12  0
11 0 7  1
12 4.07175 15  0
13 0 8  1
14 0 13  1
15 0 9  1
16 0 8  0
17 4.26507 17  1
18 0 13  0
19 0 12  1
20 5.02009 9  1
21 4.27645 7  1
22 0 14  1
23 0 9  1
24 0 10  1
25 0 10  1
26 0 12  1
27 0 9  0
28 0 11  0
29 0 10  1
30 0 11  1
31 0 8  1
32 0 12  0
33 0 11  1
34 5.3844 7  1
35 0 19  1
36 0 10  1
37 0 8  1
38 5.01397 9  1
39 0 8  1
40 0 10  1
41 0 13  1
42 0 14  1
43 0 11  1
44 0 6  1
45 0 7  1
46 5.2094 16  1
47 0 17  1
48 4.7199 10  1
49 0 11  1
50 0 6  1
51 5.62673 8  1
52 0 9  1
53 0 15  1
54 0 14  1
55 0 14  1
56 0 8  1
57 5.48515 8  1
58 0 14  1
59 0 9  1
60 0 11  1
61 3.83816 7  1
62 0 9  1
63 0 15  1
64 0 15  1
65 0 13  1
66 4.55094 8  1
67 0 11  1
68 0 9  1
69 0 10  1
70 0 14  1
71 0 8  1
72 0 14  1
73 0 10  1
74 0 10  1
75 4.94838 9  1
76 5.32448 9  1
77 5.04661 9  1
78 0 11  1
79 0 12  1
80 3.77182 16  1
81 5.49416 7  0
82 0 11  0
83 0 11  1
84 5.42742 13  1
85 4.52372 12  1
86 0 9  1
87 0 12  0
88 0 11  1
89 0 6  1
90 0 8  1
91 0 13  1
92 0 16  1
93 0 11  1
94 0 7  1
95 0 9  1
96 0 7  1
97 0 13  1
98 0 10  0
99 0 11  1
100 0 10  1
101 0 14  1
102 4.41797 11  1
103 0 9  1
104 0 10  1
105 4.98662 6  1
106 0 10  1
107 0 10  1
108 0 11  1
109 4.25594 16  1
110 0 8  1
111 0 9  1
112 5.37027 9  1
113 4.51711 12  1
114 0 10  1
115 0 12  1
116 0 7  1
117 4.74141 13  0
118 0 14  1
119 4.00078 8  1
120 0 6  0
121 0 13  0
122 4.83535 12  1
123 0 11  0
124 0 15  1
125 0 9  1
126 0 11  1
127 5.24656 11  1
128 0 15  1
129 0 6  1
130 0 11  1
131 4.86043 6  1
132 0 14  1
133 0 11  1
134 0 8  1
135 0 7  1
136 0 12  1
137 0 17  1
138 0 14  1
139 0 12  1
140 0 15  1
141 3.78336 13  1
142 0 14  1
143 0 7  0
144 3.98646 14  1
145 0 8  1
146 0 7  1
147 0 15  1
148 0 8  1
149 0 9  1
150 0 4  1
151 0 15  1
152 4.92141 15  1
153 0 8  1
154 0 8  1
155 0 6  1
156 0 8  0
157 2.99772 8  1
158 0 13  1
159 0 11  1
160 3.655 12  1
161 5.13183 5  1
162 0 10  1
163 0 10  1
164 0 16  1
165 0 15  1
166 4.79447 15  0
167 0 8  1
168 4.42405 14  0
169 0 11  1
170 0 8  1
171 0 13  1
172 0 11  1
173 5.19971 15  1
174 6.15013 11  1
175 0 10  0
176 0 6  1
177 0 12  0
178 4.85357 10  1
179 0 14  1
180 0 7  1
181 0 12  1
182 0 10  1
183 4.86381 11  1
